 # 1:step, 2:time, 3:Spitzer, 4:Hosokawa-Inutsuka, 5:Raga-I, 6:Raga-II, 7:StarBench
     0  0.0000000E+00  0.3140000E+00  0.3140000E+00  0.3140000E+00  0.3140000E+00  0.3140000E+00
     1  0.6000000E-03  0.3218122E+00  0.3230081E+00  0.3214190E+00  0.3229225E+00  0.3225200E+00
     2  0.1200000E-02  0.3294847E+00  0.3318315E+00  0.3286982E+00  0.3316603E+00  0.3308660E+00
     3  0.1800000E-02  0.3370255E+00  0.3404824E+00  0.3358453E+00  0.3402252E+00  0.3390489E+00
     4  0.2400000E-02  0.3444417E+00  0.3489715E+00  0.3428672E+00  0.3486281E+00  0.3470783E+00
     5  0.3000000E-02  0.3517401E+00  0.3573084E+00  0.3497702E+00  0.3568785E+00  0.3549631E+00
     6  0.3600000E-02  0.3589267E+00  0.3655020E+00  0.3565603E+00  0.3649850E+00  0.3627111E+00
     7  0.4200000E-02  0.3660069E+00  0.3735600E+00  0.3632426E+00  0.3729555E+00  0.3703297E+00
     8  0.4800000E-02  0.3729858E+00  0.3814897E+00  0.3698221E+00  0.3807971E+00  0.3778254E+00
     9  0.5400000E-02  0.3798682E+00  0.3892977E+00  0.3763033E+00  0.3885165E+00  0.3852042E+00
    10  0.6000000E-02  0.3866582E+00  0.3969899E+00  0.3826904E+00  0.3961196E+00  0.3924716E+00
    11  0.6600000E-02  0.3933600E+00  0.4045720E+00  0.3889874E+00  0.4036119E+00  0.3996328E+00
    12  0.7200000E-02  0.3999773E+00  0.4120489E+00  0.3951978E+00  0.4109984E+00  0.4066924E+00
    13  0.7800000E-02  0.4065134E+00  0.4194254E+00  0.4013250E+00  0.4182839E+00  0.4136548E+00
    14  0.8400001E-02  0.4129716E+00  0.4267059E+00  0.4073723E+00  0.4254727E+00  0.4205242E+00
    15  0.9000001E-02  0.4193549E+00  0.4338944E+00  0.4133425E+00  0.4325688E+00  0.4273041E+00
    16  0.9600000E-02  0.4256662E+00  0.4409947E+00  0.4192384E+00  0.4395760E+00  0.4339981E+00
    17  0.1020000E-01  0.4319081E+00  0.4480102E+00  0.4250626E+00  0.4464978E+00  0.4406095E+00
    18  0.1080000E-01  0.4380831E+00  0.4549443E+00  0.4308176E+00  0.4533375E+00  0.4471414E+00
    19  0.1140000E-01  0.4441934E+00  0.4618000E+00  0.4365057E+00  0.4600981E+00  0.4535967E+00
    20  0.1200000E-01  0.4502413E+00  0.4685802E+00  0.4421290E+00  0.4667825E+00  0.4599780E+00
    21  0.1260000E-01  0.4562290E+00  0.4752876E+00  0.4476897E+00  0.4733934E+00  0.4662878E+00
    22  0.1320000E-01  0.4621582E+00  0.4819248E+00  0.4531895E+00  0.4799333E+00  0.4725286E+00
    23  0.1380000E-01  0.4680309E+00  0.4884941E+00  0.4586305E+00  0.4864047E+00  0.4787027E+00
    24  0.1440000E-01  0.4738489E+00  0.4949978E+00  0.4640143E+00  0.4928097E+00  0.4848121E+00
